Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,55.099998,55.560001,55.060001,55.380001,53.888630,1467600
2015-05-19,55.349998,55.480000,54.720001,54.959999,53.479942,670200
2015-05-20,54.950001,55.049999,54.680000,54.939999,53.460476,744100
2015-05-21,54.919998,55.209999,54.799999,54.950001,53.470211,640900
2015-05-22,54.900002,55.060001,54.650002,54.750000,53.275597,704700
2015-05-26,54.500000,54.500000,53.709999,53.900002,52.448483,738000
2015-05-27,53.830002,54.459999,53.830002,54.369999,52.905830,750800
2015-05-28,54.259998,54.340000,53.910000,54.169998,52.711220,617800
2015-05-29,54.119999,54.209999,53.380001,53.759998,52.312256,1603700
2015-06-01,53.990002,53.990002,53.349998,53.700001,52.253880,683100
2015-06-02,53.490002,54.340000,53.220001,54.040001,52.584713,745600
2015-06-03,54.029999,54.360001,53.889999,54.119999,52.662556,738100
2015-06-04,53.790001,53.810001,52.990002,53.299999,51.864647,1164300
2015-06-05,53.369999,53.939999,53.230000,53.880001,52.429028,1077000
2015-06-08,53.810001,54.130001,53.650002,53.990002,52.536072,1240200
2015-06-09,54.009998,54.209999,53.730000,53.740002,52.292797,572000
2015-06-10,54.000000,54.610001,53.820000,54.520000,53.051792,532000
2015-06-11,54.590000,54.980000,54.369999,54.820000,53.343719,1097300
2015-06-12,54.590000,55.290001,54.419998,54.759998,53.372952,1075100
2015-06-15,54.160000,54.220001,53.880001,54.080002,52.710182,757800
2015-06-16,53.990002,54.349998,53.709999,54.299999,52.924606,627800
2015-06-17,54.400002,54.599998,53.990002,54.410000,53.031818,618300
2015-06-18,54.660000,55.279999,54.480000,55.099998,53.704342,905900
2015-06-19,54.980000,55.040001,54.549999,54.570000,53.187759,1064900
2015-06-22,54.959999,55.020000,54.580002,54.750000,53.363205,643600
2015-06-23,54.900002,54.900002,54.430000,54.689999,53.304722,684300
2015-06-24,54.549999,54.619999,53.930000,54.070000,52.700432,864000
2015-06-25,54.080002,54.150002,53.660000,53.799999,52.437271,878300
2015-06-26,54.020000,55.139999,53.799999,55.110001,53.714085,2133400
2015-06-29,54.259998,54.700001,54.000000,54.040001,52.671185,1843500
2015-06-30,54.770000,54.959999,54.279999,54.779999,53.392441,1605300
2015-07-01,55.130001,55.599998,54.869999,55.500000,54.094208,2020000
2015-07-02,55.840000,56.000000,55.200001,55.549999,54.142941,1562200
2015-07-06,54.990002,55.209999,54.270000,54.470001,53.090302,1178700
2015-07-07,54.470001,55.000000,53.980000,54.830002,53.441181,1893500
2015-07-08,54.439999,54.619999,53.450001,53.779999,52.417778,1450000
2015-07-09,54.650002,55.080002,54.130001,54.310001,52.934349,1539400
2015-07-10,55.060001,55.220001,54.720001,55.099998,53.704342,1264200
2015-07-13,55.680000,56.049999,55.240002,55.930000,54.513329,1577300
2015-07-14,55.880001,55.919998,55.529999,55.779999,54.367111,883900
2015-07-15,55.680000,55.820000,54.970001,55.040001,53.645859,885600
2015-07-16,55.369999,55.630001,54.980000,55.290001,53.889530,650400
2015-07-17,55.250000,55.299999,54.720001,54.860001,53.470421,549200
2015-07-20,54.840000,55.259998,54.730000,55.099998,53.704342,532200
2015-07-21,55.029999,55.189999,54.619999,54.689999,53.304722,981000
2015-07-22,54.669998,55.139999,54.500000,55.009998,53.616615,1149100
2015-07-23,55.130001,55.799999,55.099998,55.150002,53.753075,1266600
2015-07-24,55.040001,55.189999,53.810001,53.950001,52.583469,1189600
2015-07-27,53.310001,53.400002,51.939999,52.009998,50.692604,2404500
2015-07-28,52.250000,52.650002,51.849998,52.450001,51.121464,2095600
2015-07-29,52.700001,53.470001,52.360001,53.340000,51.988926,1941900
2015-07-30,53.189999,53.450001,53.000000,53.360001,52.008411,1220200
2015-07-31,53.529999,53.529999,52.939999,53.049999,51.706268,1638300
2015-08-03,53.169998,53.340000,52.660000,53.290001,51.940189,1757700
2015-08-04,53.110001,54.720001,52.939999,53.709999,52.349556,2143900
2015-08-05,53.910000,55.020000,53.910000,54.230000,52.856369,1091400
2015-08-06,54.130001,55.209999,54.130001,55.040001,53.645859,2242900
2015-08-07,54.830002,55.169998,54.680000,54.939999,53.548393,1308800
2015-08-10,55.330002,56.230000,55.320000,56.080002,54.659527,1577100
2015-08-11,55.270000,55.820000,55.240002,55.630001,54.220917,1224000
2015-08-12,54.580002,55.630001,54.570000,55.490002,54.084465,1221400
2015-08-13,55.340000,56.340000,55.259998,56.049999,54.630272,979100
2015-08-14,55.970001,56.740002,55.869999,56.660000,55.224831,1055600
2015-08-17,56.459999,57.529999,56.040001,57.500000,56.043545,1348400
2015-08-18,57.450001,57.669998,57.330002,57.500000,56.043545,1329300
2015-08-19,57.040001,57.139999,56.240002,56.540001,55.107868,1038500
2015-08-20,56.150002,56.290001,55.060001,55.060001,53.665348,989700
2015-08-21,54.639999,55.000000,53.830002,53.840000,52.476257,1748100
2015-08-24,50.810001,53.209999,50.549999,52.580002,51.248173,3697200
2015-08-25,53.930000,54.060001,51.480000,51.490002,50.185787,1768900
2015-08-26,52.700001,53.400002,51.869999,53.209999,51.862206,2576500
2015-08-27,53.799999,54.740002,53.450001,54.740002,53.353466,1554600
2015-08-28,54.430000,55.099998,54.180000,54.770000,53.382702,1816400
2015-08-31,54.470001,54.470001,53.650002,53.820000,52.456757,1905000
2015-09-01,52.650002,52.889999,51.520000,51.840000,50.526909,1706300
2015-09-02,52.450001,52.759998,51.770000,52.730000,51.394371,2055600
2015-09-03,52.790001,53.330002,52.580002,52.779999,51.443100,1190000
2015-09-04,52.029999,52.369999,51.810001,51.930000,50.614632,1065800
2015-09-08,52.950001,53.660000,52.660000,53.619999,52.261837,1195500
2015-09-09,54.160000,54.340000,52.869999,52.990002,51.647781,733200
2015-09-10,53.009998,53.259998,52.560001,52.930000,51.589306,677700
2015-09-11,52.779999,53.220001,52.400002,53.220001,51.871964,695600
2015-09-14,53.080002,53.450001,52.360001,52.680000,51.432617,763600
2015-09-15,52.889999,53.509998,52.669998,53.389999,52.125801,687400
2015-09-16,53.349998,53.869999,53.240002,53.770000,52.496807,899400
2015-09-17,53.840000,54.509998,53.419998,53.500000,52.233200,925000
2015-09-18,52.689999,52.869999,52.029999,52.160000,50.924931,1466500
2015-09-21,52.310001,52.560001,51.919998,52.169998,50.934692,886100
2015-09-22,51.369999,51.700001,50.910000,51.529999,50.309845,1503600
2015-09-23,51.639999,51.810001,51.320000,51.560001,50.339142,1238700
2015-09-24,51.049999,51.599998,50.639999,51.520000,50.300083,2203800
2015-09-25,52.070000,52.259998,51.700001,52.020000,50.788246,1279600
2015-09-28,51.540001,51.660000,50.680000,50.830002,49.626419,1780700
2015-09-29,51.049999,51.490002,50.709999,51.130001,49.919315,937000
2015-09-30,51.720001,52.389999,51.630001,52.320000,51.081139,2212100
2015-10-01,52.430000,52.669998,51.110001,51.860001,50.632038,1704300
2015-10-02,50.970001,53.290001,50.970001,53.279999,52.018417,1070300
2015-10-05,53.910000,54.779999,52.990002,54.730000,53.434078,1165800
2015-10-06,54.639999,55.110001,54.240002,54.459999,53.170483,944000
2015-10-07,54.820000,55.650002,54.490002,55.150002,53.844135,1003200
2015-10-08,54.930000,55.959999,54.750000,55.910000,54.586132,1093200
2015-10-09,55.930000,56.380001,55.810001,56.020000,54.693535,1050600
2015-10-12,55.939999,56.130001,55.660000,55.779999,54.459209,1015200
2015-10-13,55.270000,55.529999,54.720001,54.930000,53.629345,1703600
2015-10-14,54.799999,54.910000,54.000000,54.110001,52.828754,1453200
2015-10-15,54.349998,54.599998,53.610001,54.529999,53.238811,939000
2015-10-16,54.500000,54.500000,53.540001,54.099998,52.819000,1132600
2015-10-19,53.959999,54.340000,53.700001,54.279999,52.994728,793400
2015-10-20,54.099998,55.029999,53.930000,54.599998,53.307148,1463400
2015-10-21,54.820000,55.540001,54.540001,54.619999,53.326679,980900
2015-10-22,54.869999,56.130001,54.830002,55.630001,54.312763,1405600
2015-10-23,56.099998,56.150002,55.330002,55.860001,54.537323,1374700
2015-10-26,55.950001,56.529999,55.860001,56.299999,54.966900,2808300
2015-10-27,53.720001,54.450001,52.310001,53.759998,52.487041,4105800
2015-10-28,53.709999,54.259998,53.360001,54.220001,52.936150,1836600
2015-10-29,54.549999,55.430000,54.549999,54.680000,53.385265,2246000
2015-10-30,54.880001,55.369999,54.650002,54.820000,53.521938,2182600
2015-11-02,54.869999,55.700001,54.740002,55.439999,54.127266,1067800
2015-11-03,55.330002,55.970001,55.169998,55.720001,54.400635,1347600
2015-11-04,55.830002,56.509998,55.720001,56.180000,54.849735,1489300
2015-11-05,56.139999,56.820000,56.119999,56.480000,55.142639,967200
2015-11-06,56.240002,56.580002,55.770000,56.209999,54.879040,741400
2015-11-09,56.029999,56.189999,55.430000,56.020000,54.693535,849400
2015-11-10,55.740002,56.090000,55.189999,55.970001,54.644714,693400
2015-11-11,56.279999,56.459999,55.730000,55.770000,54.449451,967100
2015-11-12,55.290001,55.549999,54.029999,54.090000,52.809235,1293600
2015-11-13,53.869999,54.380001,53.730000,53.759998,52.487041,874600
2015-11-16,53.750000,54.910000,53.560001,54.900002,53.600048,957400
2015-11-17,54.930000,55.139999,54.090000,54.240002,52.955685,1121800
2015-11-18,54.529999,55.990002,54.330002,55.930000,54.605656,1107800
2015-11-19,55.950001,56.070000,55.639999,55.790001,54.468979,1066900
2015-11-20,56.049999,56.549999,55.889999,56.220001,54.888798,924200
2015-11-23,56.150002,56.450001,56.020000,56.310001,54.976662,701300
2015-11-24,56.110001,56.619999,55.779999,56.459999,55.123104,1177000
2015-11-25,56.500000,56.680000,56.290001,56.459999,55.123104,1221700
2015-11-27,56.500000,56.970001,56.439999,56.860001,55.513638,426700
2015-11-30,56.779999,57.000000,56.389999,56.459999,55.123104,1555800
2015-12-01,56.619999,56.930000,56.340000,56.669998,55.328136,1195200
2015-12-02,56.490002,56.570000,55.740002,55.799999,54.565399,1323700
2015-12-03,55.820000,56.000000,54.270000,54.709999,53.499516,1371100
2015-12-04,54.779999,55.520000,54.599998,55.310001,54.086243,1754400
2015-12-07,54.970001,55.220001,54.680000,55.110001,53.890656,1008200
2015-12-08,54.619999,54.740002,53.810001,53.830002,52.638988,1255800
2015-12-09,53.470001,54.840000,53.470001,54.000000,52.805225,1828400
2015-12-10,53.930000,54.430000,53.849998,54.080002,52.883453,2388900
2015-12-11,53.509998,53.599998,52.849998,52.910000,51.739338,1681300
2015-12-14,52.990002,53.450001,52.910000,53.419998,52.238056,2146400
2015-12-15,53.889999,53.959999,53.250000,53.330002,52.150051,2063500
2015-12-16,53.830002,54.549999,53.389999,54.349998,53.147472,2042600
2015-12-17,54.380001,54.580002,53.419998,53.549999,52.365185,1931100
2015-12-18,53.290001,53.599998,52.919998,52.950001,51.778458,3289900
2015-12-21,53.349998,53.560001,52.810001,53.080002,51.905586,1264800
2015-12-22,53.349998,53.560001,53.040001,53.419998,52.238056,2322900
2015-12-23,53.779999,54.509998,53.590000,54.169998,52.971470,1461500
2015-12-24,53.959999,54.470001,53.959999,54.290001,53.088810,386900
2015-12-28,54.169998,54.259998,53.650002,53.939999,52.746555,707300
2015-12-29,54.419998,54.700001,54.009998,54.549999,53.343052,528800
2015-12-30,54.470001,54.630001,54.139999,54.180000,52.981239,600100
2015-12-31,53.910000,54.250000,53.580002,53.590000,52.404297,708700
2016-01-04,52.860001,52.930000,52.279999,52.650002,51.485096,1942300
2016-01-05,52.650002,52.869999,52.049999,52.380001,51.221069,1277100
2016-01-06,51.580002,51.910000,50.980000,51.189999,50.057396,1973700
2016-01-07,50.389999,50.439999,49.380001,49.980000,48.874165,2498700
2016-01-08,50.290001,50.599998,48.980000,49.070000,47.984299,1708500
2016-01-11,49.150002,49.520000,47.799999,48.200001,47.133556,2482900
2016-01-12,48.720001,48.770000,47.880001,48.470001,47.397587,1711900
2016-01-13,48.770000,48.930000,47.340000,47.389999,46.341476,1325200
2016-01-14,47.480000,48.430000,46.770000,47.990002,46.928200,1510600
2016-01-15,46.939999,48.160000,46.930000,47.889999,46.830410,1822900
2016-01-19,48.459999,48.470001,46.970001,47.419998,46.370808,1202700
2016-01-20,46.410000,47.009998,45.090000,46.560001,45.529842,1910800
2016-01-21,46.520000,46.970001,45.810001,46.330002,45.304932,1869200
2016-01-22,47.250000,47.540001,46.570000,46.910000,45.872089,1381100
2016-01-25,46.790001,46.930000,45.900002,45.900002,44.884449,1290900
2016-01-26,46.240002,46.720001,46.080002,46.619999,45.588505,1815200
2016-01-27,46.529999,47.139999,46.040001,46.310001,45.285374,1589700
2016-01-28,46.770000,46.880001,45.919998,46.180000,45.158249,1607700
2016-01-29,46.490002,47.130001,46.150002,47.049999,46.008991,2863700
2016-02-01,46.580002,46.910000,45.970001,46.680000,45.647186,3142400
2016-02-02,46.090000,46.189999,45.360001,45.520000,44.512852,2498100
2016-02-03,45.980000,46.209999,44.689999,45.849998,44.835541,2261100
2016-02-04,45.849998,47.160000,44.919998,46.639999,45.608070,1862900
2016-02-05,43.939999,45.950001,42.820000,45.330002,44.327057,3453900
2016-02-08,44.330002,44.930000,44.040001,44.750000,43.759884,2958400
2016-02-09,44.369999,46.090000,44.040001,45.750000,44.737762,1846000
2016-02-10,45.610001,46.169998,45.230000,45.619999,44.610634,2293800
2016-02-11,44.639999,45.450001,44.279999,45.029999,44.033688,1994000
2016-02-12,45.709999,46.180000,45.389999,45.630001,44.620415,1722300
2016-02-16,46.320000,46.330002,45.250000,45.980000,44.962677,2381000
2016-02-17,46.160000,46.340000,45.860001,46.009998,44.992001,1908500
2016-02-18,46.020000,46.060001,45.549999,45.860001,44.845329,1300800
2016-02-19,45.810001,46.169998,45.340000,46.130001,45.109360,1588900
2016-02-22,46.410000,46.919998,46.049999,46.130001,45.109360,1358900
2016-02-23,46.090000,46.250000,45.240002,45.540001,44.532406,2424700
2016-02-24,44.939999,45.509998,44.639999,45.380001,44.375946,2032100
2016-02-25,45.590000,46.410000,45.230000,46.389999,45.363594,1177900
2016-02-26,46.610001,47.000000,46.169998,46.669998,45.637398,1070500
2016-02-29,46.860001,47.060001,46.400002,46.410000,45.383163,1362900
2016-03-01,46.689999,48.080002,46.549999,47.910000,46.849968,1713000
2016-03-02,47.840000,47.970001,47.490002,47.860001,46.801075,1155000
2016-03-03,47.980000,48.250000,47.500000,48.220001,47.153107,925800
2016-03-04,48.150002,48.560001,47.900002,48.130001,47.065102,1004800
2016-03-07,47.939999,48.340000,47.900002,48.160000,47.094440,834700
2016-03-08,47.810001,48.130001,47.599998,47.730000,46.673950,1577300
2016-03-09,47.849998,47.990002,47.540001,47.650002,46.595722,933300
2016-03-10,47.660000,47.790001,46.820000,47.400002,46.351254,1456500
2016-03-11,47.889999,48.110001,47.540001,48.070000,47.006428,1345700
2016-03-14,48.009998,48.689999,46.810001,48.520000,47.446472,1892200
2016-03-15,48.060001,48.520000,47.790001,48.500000,47.515049,1488400
2016-03-16,48.209999,48.980000,48.060001,48.779999,47.789356,1630500
2016-03-17,48.840000,50.080002,48.820000,49.910000,48.896416,2123900
2016-03-18,49.880001,50.279999,49.740002,50.160000,49.141342,2341600
2016-03-21,50.150002,50.290001,49.570000,49.900002,48.886616,799400
2016-03-22,49.930000,50.040001,49.549999,49.770000,48.759258,918100
2016-03-23,49.770000,49.869999,49.200001,49.349998,48.347786,714300
2016-03-24,49.090000,49.119999,48.689999,49.070000,48.073475,858800
2016-03-28,49.040001,49.340000,48.810001,49.259998,48.259621,904800
2016-03-29,49.040001,49.770000,48.700001,49.730000,48.720070,1187600
2016-03-30,50.139999,50.650002,50.060001,50.320000,49.298084,1870700
2016-03-31,50.160000,50.290001,49.599998,49.980000,48.964989,1240400
2016-04-01,49.820000,50.160000,49.200001,50.110001,49.092354,838200
2016-04-04,50.169998,50.169998,49.180000,49.320000,48.318398,1294900
2016-04-05,49.000000,49.320000,48.709999,48.840000,47.848148,785700
2016-04-06,48.849998,48.980000,48.380001,48.950001,47.955914,760100
2016-04-07,48.560001,49.290001,48.509998,49.029999,48.034286,1606300
