Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,65.849998,66.080002,65.220001,66.019997,43.259014,1794000
2015-05-19,65.339996,65.339996,64.260002,64.449997,42.230289,2561500
2015-05-20,64.620003,64.919998,63.980000,64.260002,42.105789,2021000
2015-05-21,64.680000,65.940002,64.510002,65.879997,43.167286,2491500
2015-05-22,65.290001,66.070000,65.010002,65.529999,42.937958,1521300
2015-05-26,64.669998,65.410004,64.540001,64.599998,42.328575,2165900
2015-05-27,64.599998,65.250000,63.980000,64.900002,42.525146,1873800
2015-05-28,64.660004,64.830002,64.070000,64.519997,42.276157,1548800
2015-05-29,64.709999,65.180000,64.379997,64.459999,42.236843,1905400
2015-06-01,64.379997,64.720001,64.099998,64.320000,42.145103,1595100
2015-06-02,64.480003,65.779999,64.400002,65.220001,42.734825,1605000
2015-06-03,64.970001,65.900002,64.660004,64.690002,42.387550,2196000
2015-06-04,64.089996,64.540001,63.590000,63.639999,41.699547,1858900
2015-06-05,63.389999,65.029999,63.180000,64.680000,42.380993,2867500
2015-06-08,64.430000,65.199997,63.990002,64.010002,41.941982,1593400
2015-06-09,64.599998,64.970001,63.990002,64.029999,41.955082,1943100
2015-06-10,64.820000,65.580002,64.730003,65.089996,42.649643,1966300
2015-06-11,65.370003,65.370003,64.290001,64.400002,42.197533,1253500
2015-06-12,64.010002,64.529999,63.830002,64.129997,42.020611,1432200
2015-06-15,63.410000,64.449997,63.180000,63.779999,41.791283,2752100
2015-06-16,63.820000,64.209999,63.400002,63.599998,41.673340,3977000
2015-06-17,64.379997,64.769997,63.599998,63.810001,41.810940,2919500
2015-06-18,64.169998,64.519997,62.169998,62.310001,40.828075,6746600
2015-06-19,61.830002,62.669998,61.330002,61.930000,40.579079,4032300
2015-06-22,62.590000,62.590000,61.240002,62.410000,40.893600,3288900
2015-06-23,62.060001,63.169998,61.990002,62.889999,41.208111,4449600
2015-06-24,62.599998,63.220001,62.580002,62.639999,41.044304,2244400
2015-06-25,62.459999,62.630001,61.919998,62.060001,40.664265,1993800
2015-06-26,61.840000,61.990002,61.320000,61.900002,40.559429,3623200
2015-06-29,61.180000,61.730000,61.020000,61.110001,40.041786,2159300
2015-06-30,61.610001,61.889999,61.049999,61.700001,40.428375,2788100
2015-07-01,61.750000,61.959999,59.480000,60.009998,39.321014,4174600
2015-07-02,60.189999,60.680000,59.830002,60.349998,39.543804,2565100
2015-07-06,59.209999,60.290001,59.009998,59.299999,38.855797,3464700
2015-07-07,59.090000,60.750000,58.529999,60.680000,39.760033,2986000
2015-07-08,60.599998,60.630001,59.480000,59.740002,39.144104,5344200
2015-07-09,60.669998,60.770000,59.869999,60.150002,39.412754,2561800
2015-07-10,60.450001,60.660000,59.669998,59.709999,39.124454,2622200
2015-07-13,59.639999,60.450001,59.410000,60.299999,39.511044,3525000
2015-07-14,60.299999,61.459999,60.110001,61.130001,40.054886,2610000
2015-07-15,60.820000,60.860001,59.480000,59.500000,38.986851,4155300
2015-07-16,59.950001,60.000000,58.680000,58.869999,38.574039,2326200
2015-07-17,58.570000,59.099998,57.869999,58.320000,38.213665,3680700
2015-07-20,58.880001,60.279999,58.880001,59.459999,38.960636,4831900
2015-07-21,59.459999,61.439999,59.360001,60.639999,39.733822,4019600
2015-07-22,60.410000,61.700001,52.799999,58.279999,38.187450,27297500
2015-07-23,58.900002,59.750000,58.490002,59.259998,38.829590,4051000
2015-07-24,59.450001,59.639999,58.400002,58.660000,38.436443,4466800
2015-07-27,57.720001,58.360001,57.220001,57.740002,37.833626,3354500
2015-07-28,57.900002,58.630001,57.000000,58.549999,38.364365,2859700
2015-07-29,58.060001,59.750000,57.700001,59.669998,39.098232,5948200
2015-07-30,59.630001,60.169998,58.340000,58.689999,38.456100,2551500
2015-07-31,58.490002,58.950001,58.119999,58.150002,38.102272,2468800
2015-08-03,57.490002,57.619999,55.400002,55.549999,36.398643,5326400
2015-08-04,55.889999,56.349998,54.959999,55.299999,36.234829,4635100
2015-08-05,55.779999,56.860001,55.660000,56.330002,36.909737,2869800
2015-08-06,55.959999,56.750000,55.389999,56.560001,37.060440,2619200
2015-08-07,56.000000,56.759998,55.560001,55.720001,36.510029,2289600
2015-08-10,55.750000,57.900002,55.590000,57.830002,37.892590,2825600
2015-08-11,56.580002,57.709999,56.480000,57.540001,37.702579,2371200
