Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,null,null,null,null,null,null
2015-06-01,46.980000,49.709999,41.520000,42.090000,42.090000,123076900
2015-07-01,42.630001,44.169998,38.799999,41.990002,41.990002,83949100
2015-08-01,41.400002,45.820000,36.630001,43.459999,43.459999,106096900
2015-09-01,42.790001,45.430000,40.119999,42.240002,42.240002,51487500
2015-10-01,42.209999,44.380001,37.910000,38.639999,38.639999,69089400
2015-11-01,38.919998,44.799999,37.900002,43.020000,43.020000,84681900
2015-12-01,43.099998,43.869999,38.970001,40.060001,40.060001,58223100
2016-01-01,39.389999,40.860001,34.830002,39.900002,39.900002,56966200
2016-02-01,39.930000,57.389999,39.619999,56.650002,56.650002,119119700
2016-03-01,56.990002,59.490002,55.049999,56.959999,56.959999,52922900
2016-04-01,56.820000,58.630001,50.410000,51.660000,51.660000,61294000
2016-05-01,51.970001,53.060001,40.360001,42.720001,42.720001,89749500
2016-06-01,42.720001,51.580002,42.720001,49.480000,49.480000,105154000
2016-07-01,49.529999,52.970001,48.000000,51.720001,51.720001,45723100
2016-08-01,51.799999,53.290001,46.500000,48.950001,48.950001,73710600
2016-09-01,48.880001,51.060001,46.439999,46.790001,46.790001,46957400
2016-10-01,46.610001,51.279999,45.180000,50.779999,50.779999,57030000
2016-11-01,50.950001,52.669998,46.119999,46.490002,46.490002,76934100
2016-12-01,46.500000,51.419998,41.950001,42.980000,42.980000,46587000
2017-01-01,42.779999,44.250000,40.810001,42.810001,42.810001,41442700
2017-02-01,42.180000,42.320000,34.919998,36.500000,36.500000,81666900
2017-03-01,36.869999,38.590000,35.910000,38.110001,38.110001,54766800
2017-04-01,38.160000,38.459999,36.380001,37.330002,37.330002,31791900
2017-05-01,37.430000,38.970001,32.380001,33.180000,33.180000,55980900
2017-06-01,33.220001,36.430000,32.500000,36.250000,36.250000,62396700
2017-07-01,36.230000,36.779999,32.810001,36.439999,36.439999,39780000
2017-08-01,36.450001,46.259998,35.730000,42.220001,42.220001,66238300
2017-09-01,42.439999,48.590000,41.810001,47.849998,47.849998,41092000
2017-10-01,48.060001,50.169998,46.700001,48.810001,48.810001,37122000
2017-11-01,49.310001,59.270000,47.490002,58.439999,58.439999,66596500
2017-12-01,58.709999,64.300003,57.779999,62.950001,62.950001,42905500
2018-01-01,63.180000,68.349998,62.730000,66.000000,66.000000,34110400
2018-02-01,65.320000,69.949997,56.209999,62.930000,62.930000,62190200
2018-03-01,62.880001,64.540001,60.470001,62.080002,62.080002,37751000
2018-04-01,61.840000,70.000000,60.580002,68.419998,68.419998,36120000
2018-05-01,67.610001,69.250000,57.290001,57.389999,57.389999,73692400
2018-06-01,57.599998,69.019997,57.099998,66.599998,66.599998,64028600
2018-07-01,66.360001,69.820000,63.790001,66.730003,66.730003,38742900
2018-08-01,66.370003,75.959999,63.560001,72.620003,72.620003,54266900
2018-09-01,72.580002,75.250000,65.820000,68.559998,68.559998,41462200
2018-10-01,68.839996,69.059998,53.660000,55.410000,55.410000,56814800
2018-11-01,55.200001,60.380001,43.049999,43.750000,43.750000,83661600
2018-12-01,44.619999,45.580002,35.680000,37.919998,37.919998,70919200
2019-01-01,37.700001,43.180000,36.970001,42.480000,42.480000,48352800
2019-02-01,42.400002,49.950001,41.790001,45.599998,45.599998,64464600
2019-03-01,48.080002,48.250000,43.060001,45.750000,45.750000,55771900
2019-04-01,45.959999,50.000000,43.950001,44.080002,44.080002,51508900
2019-05-01,44.060001,44.700001,39.799999,39.980000,39.980000,28931100
2019-05-17,40.110001,40.630001,39.855000,39.980000,39.980000,2252182
