Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,null,null,null,null,null,null
2015-06-01,49.259998,49.520000,45.200001,45.410000,40.199875,28714000
2015-07-01,45.529999,49.990002,44.639999,49.720001,44.015377,48471600
2015-08-01,49.770000,52.150002,46.889999,48.590000,43.015018,36747400
2015-09-01,46.720001,50.660000,45.139999,50.619999,44.812111,42552000
2015-10-01,50.709999,52.849998,49.259998,50.939999,45.509609,27419500
2015-11-01,50.970001,51.980000,48.660000,50.950001,45.518551,30968900
2015-12-01,50.779999,52.240002,48.180000,51.070000,45.625755,32952500
2016-01-01,50.650002,54.150002,50.009998,53.799999,48.462700,40049000
2016-02-01,53.599998,56.919998,52.930000,54.299999,48.913097,42112500
2016-03-01,54.500000,58.810001,52.619999,58.340000,52.982784,39615100
2016-04-01,57.900002,59.090000,54.509998,56.439999,51.257259,35885400
2016-05-01,56.599998,58.259998,53.900002,55.240002,50.167450,39330200
2016-06-01,55.169998,59.950001,54.860001,59.900002,54.849030,35254100
2016-07-01,60.080002,60.439999,57.240002,58.490002,53.557930,29974800
2016-08-01,58.619999,59.279999,53.580002,53.970001,49.419075,33300200
2016-09-01,53.959999,56.840000,53.040001,54.180000,49.611370,36612400
2016-10-01,54.000000,55.470001,51.880001,55.060001,50.838440,33587400
2016-11-01,55.160000,55.330002,50.990002,51.619999,47.662197,36811400
2016-12-01,51.270000,55.740002,50.560001,53.759998,49.638115,31612700
2017-01-01,55.250000,55.900002,54.080002,55.320000,51.498615,27025700
2017-02-01,54.910000,59.110001,54.500000,58.660000,54.607899,25199300
2017-03-01,57.980000,60.360001,57.279999,58.779999,55.165855,36472300
2017-04-01,58.759998,60.500000,58.270000,59.400002,55.747742,26738600
2017-05-01,59.580002,62.189999,58.110001,62.070000,58.253574,25486100
2017-06-01,62.099998,63.340000,60.520000,60.709999,57.418228,30491400
2017-07-01,60.740002,61.560001,59.549999,60.790001,57.493896,23539500
2017-08-01,60.930000,63.669998,60.369999,63.000000,59.584064,31065800
2017-09-01,63.180000,64.190002,60.009998,60.439999,57.162872,30969100
2017-10-01,60.509998,62.840000,59.590000,62.639999,59.694664,34819900
2017-11-01,62.790001,66.150002,61.980000,64.849998,61.800747,35818900
2017-12-01,65.150002,66.120003,61.680000,63.180000,60.209274,33955500
2018-01-01,63.180000,64.989998,60.180000,63.090000,60.567623,60584700
2018-02-01,63.139999,63.419998,55.930000,57.000000,54.721100,53791700
2018-03-01,57.000000,59.389999,56.130001,58.919998,56.564342,45557700
2018-04-01,59.049999,60.889999,58.299999,60.250000,58.357285,37171300
2018-05-01,60.380001,60.450001,55.310001,57.080002,55.286869,47289600
2018-06-01,56.650002,58.910000,52.759998,58.610001,57.269344,44264400
2018-07-01,58.599998,60.810001,57.490002,60.720001,59.331078,39172900
2018-08-01,59.799999,63.529999,59.299999,62.430000,61.001965,27402100
2018-09-01,62.480000,63.880001,60.150002,61.439999,60.034607,23893700
2018-10-01,61.270000,65.290001,60.560001,63.259998,62.320339,34735400
2018-11-01,63.090000,68.389999,61.570000,68.339996,67.324875,36316000
2018-12-01,68.250000,70.529999,62.610001,65.040001,64.073898,35851700
2019-01-01,64.930000,69.820000,63.099998,69.410004,68.877533,34643000
2019-02-01,69.410004,70.620003,68.040001,69.809998,69.274460,35248000
2019-03-01,69.900002,72.260002,68.379997,70.949997,70.405716,44202100
2019-04-01,70.940002,71.779999,69.089996,71.660004,71.660004,31140100
2019-05-01,71.379997,73.800003,70.059998,73.529999,73.529999,16002100
2019-05-17,72.599998,73.800003,72.529999,73.529999,73.529999,1081133
