Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,53.099998,54.650002,53.009998,54.000000,52.312908,2026800
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,54.189999,57.439999,53.889999,56.700001,54.928558,5941700
2018-06-01,56.599998,56.770000,50.889999,56.150002,54.786026,101947800
2018-07-01,56.139999,57.090000,54.169998,56.090000,54.727486,25383300
2018-08-01,55.810001,58.240002,54.939999,57.049999,55.664162,33629300
2018-09-01,57.270000,59.279999,54.189999,54.919998,54.022175,41194400
2018-10-01,54.959999,57.689999,54.259998,55.990002,55.074688,36299500
2018-11-01,55.930000,61.099998,55.490002,59.369999,58.399429,31315000
2018-12-01,59.200001,61.000000,55.180000,56.770000,56.287693,37837100
2019-01-01,56.709999,57.860001,55.130001,57.320000,56.833019,38750500
2019-02-01,57.310001,59.939999,54.570000,55.910000,55.434998,35559900
2019-03-01,56.049999,58.590000,54.599998,58.049999,57.556816,41327800
2019-04-01,57.980000,58.200001,56.330002,57.820000,57.820000,33347300
2019-05-01,57.540001,59.020000,56.650002,58.700001,58.700001,20048000
2019-05-17,58.029999,59.020000,57.889999,58.700001,58.700001,1088108
