Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,null,null,null,null,null,null
2015-06-01,134.500000,136.899994,127.480003,128.089996,113.888908,8935800
2015-07-01,128.479996,138.860001,127.739998,136.789993,122.418808,6802100
2015-08-01,136.820007,139.399994,124.870003,129.080002,115.518845,8536800
2015-09-01,127.120003,137.029999,125.089996,136.449997,122.114540,8720200
2015-10-01,136.789993,145.580002,133.979996,143.490005,129.317886,9971000
2015-11-01,143.470001,148.970001,140.889999,146.520004,132.048630,6577500
2015-12-01,147.259995,150.539993,140.110001,146.100006,131.670120,6790700
2016-01-01,145.169998,151.990005,141.809998,150.830002,136.790421,23526100
2016-02-01,151.000000,153.320007,143.660004,148.059998,134.278259,12674800
2016-03-01,149.190002,159.789993,148.509995,156.050003,141.524506,9788500
2016-04-01,155.389999,158.089996,149.250000,152.080002,138.771362,6649500
2016-05-01,152.720001,160.470001,148.399994,153.190002,139.784225,7050200
2016-06-01,153.250000,165.619995,152.539993,165.550003,151.062592,7878200
2016-07-01,166.380005,171.080002,164.360001,169.699997,155.780228,6935800
2016-08-01,169.949997,170.619995,156.210007,159.000000,145.957870,8586100
2016-09-01,158.869995,161.000000,152.160004,153.929993,141.303757,8225200
2016-10-01,152.259995,153.410004,142.179993,145.229996,134.159424,9839300
2016-11-01,144.860001,144.860001,134.389999,140.419998,129.716080,10294800
2016-12-01,139.570007,143.470001,136.759995,142.110001,131.277267,8295500
2017-01-01,142.919998,145.800003,138.350006,140.429993,130.646927,8283200
2017-02-01,139.729996,143.789993,137.039993,140.729996,130.925995,7010700
2017-03-01,139.889999,140.000000,126.019997,133.500000,124.199677,13073100
2017-04-01,133.500000,138.119995,130.089996,130.889999,122.715179,7621200
2017-05-01,131.229996,135.520004,121.730003,122.739998,115.074181,14184500
2017-06-01,122.550003,129.139999,120.500000,126.389999,118.496223,13123200
2017-07-01,127.089996,135.589996,122.970001,132.630005,125.327606,8508900
2017-08-01,132.949997,135.119995,123.919998,126.930000,119.941406,10651500
2017-09-01,127.129997,131.500000,122.599998,124.209999,117.371170,8259700
2017-10-01,124.500000,130.720001,119.370003,120.519997,114.805504,8196200
2017-11-01,120.629997,133.889999,119.860001,132.210007,125.941223,8802700
2017-12-01,132.919998,134.520004,129.000000,132.809998,126.512779,8370400
2018-01-01,133.080002,134.199997,119.309998,120.800003,115.939987,10141500
2018-02-01,120.790001,121.639999,106.410004,113.940002,109.355980,12882000
2018-03-01,113.449997,118.589996,111.820000,116.110001,111.438683,10470500
2018-04-01,116.209999,118.860001,110.660004,115.849998,112.145035,8023300
2018-05-01,115.849998,119.690002,113.250000,118.889999,115.087807,8838500
2018-06-01,118.650002,128.000000,117.889999,126.550003,122.502838,9706600
2018-07-01,126.430000,127.419998,120.000000,125.500000,122.503464,8822100
2018-08-01,124.250000,131.369995,122.050003,130.610001,127.491447,8672000
2018-09-01,130.320007,131.720001,124.059998,126.470001,123.450294,6876100
2018-10-01,126.690002,128.320007,118.070000,124.050003,122.062218,10933400
2018-11-01,124.389999,132.199997,121.239998,132.089996,129.973373,8009100
2018-12-01,132.440002,135.679993,115.220001,118.040001,116.148514,10337300
2019-01-01,117.050003,132.679993,115.089996,132.570007,131.560898,8509000
2019-02-01,132.929993,136.910004,129.869995,133.589996,132.573120,7194500
2019-03-01,133.500000,139.289993,130.389999,137.850006,136.800705,8212100
2019-04-01,137.919998,139.029999,128.259995,133.850006,133.850006,6735000
2019-05-01,133.699997,135.369995,128.190002,131.110001,131.110001,7176100
2019-05-17,129.669998,131.134995,129.639999,131.110001,131.110001,775409
