Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,null,null,null,null,null,null
2015-06-01,119.290001,119.290001,108.820000,109.290001,100.932953,12098600
2015-07-01,110.279999,116.870003,108.199997,115.589996,107.196236,8159500
2015-08-01,115.449997,118.870003,106.199997,109.550003,101.594856,10871600
2015-09-01,107.070000,110.809998,100.019997,103.260002,95.761612,9134600
2015-10-01,104.070000,117.050003,102.440002,116.059998,108.208839,8287700
2015-11-01,116.199997,121.029999,111.330002,120.010002,111.891655,8624800
2015-12-01,117.889999,122.639999,115.199997,119.639999,111.546684,9440500
2016-01-01,118.309998,119.570000,108.080002,116.959999,109.561356,11550100
2016-02-01,116.389999,122.379997,97.239998,103.290001,96.756088,20051900
2016-03-01,104.320000,116.180000,104.059998,113.769997,106.573143,12112700
2016-04-01,113.190002,123.430000,112.949997,119.470001,112.460686,9808500
2016-05-01,119.760002,129.449997,117.070000,129.000000,121.431564,13224900
2016-06-01,129.000000,131.300003,117.820000,126.070000,118.673477,14322100
2016-07-01,126.470001,135.550003,124.769997,133.250000,125.988365,6927900
2016-08-01,133.350006,139.809998,132.149994,138.580002,131.027908,8791300
2016-09-01,138.240005,143.429993,133.580002,142.970001,135.178665,8145900
2016-10-01,142.929993,143.639999,128.149994,130.779999,124.216385,10543300
2016-11-01,130.899994,133.990005,116.730003,121.050003,114.974716,16554500
2016-12-01,121.070000,126.260002,116.639999,117.830002,111.916328,12713600
2017-01-01,118.449997,120.360001,113.160004,117.209999,111.927635,10803500
2017-02-01,117.400002,128.330002,114.809998,125.699997,120.035019,16759000
2017-03-01,126.120003,137.039993,123.150002,132.529999,126.557205,16191000
2017-04-01,132.740005,140.199997,130.990005,138.589996,132.965759,7102800
2017-05-01,139.190002,139.869995,128.419998,137.889999,132.294159,11317500
2017-06-01,137.720001,140.440002,132.389999,135.000000,129.521423,9642400
2017-07-01,135.600006,136.270004,130.940002,133.179993,128.379074,7620300
2017-08-01,133.679993,140.000000,133.250000,136.850006,131.916794,8866200
2017-09-01,137.100006,145.889999,137.100006,142.910004,137.758316,6035300
2017-10-01,143.270004,151.039993,142.979996,147.419998,142.791046,6084600
2017-11-01,147.740005,156.639999,145.449997,155.440002,150.559204,6025200
2017-12-01,156.199997,156.199997,150.449997,152.610001,147.818085,4885600
2018-01-01,153.039993,157.399994,148.580002,150.300003,146.240509,7531600
2018-02-01,149.479996,150.479996,135.080002,141.250000,137.434921,8372700
2018-03-01,141.410004,143.470001,132.490005,136.910004,133.212143,10925200
2018-04-01,136.830002,143.509995,133.149994,141.259995,138.160065,8725400
2018-05-01,140.509995,143.080002,122.110001,122.129997,119.449875,24283800
2018-06-01,123.019997,127.070000,122.120003,123.959999,121.239723,14732000
2018-07-01,123.720001,133.070007,122.720001,132.759995,130.569244,10431500
2018-08-01,132.500000,135.690002,129.119995,130.289993,128.140015,13523200
2018-09-01,129.869995,141.679993,124.629997,139.119995,136.824295,33509600
2018-10-01,139.470001,145.949997,129.600006,144.660004,143.019104,29618200
2018-11-01,145.000000,150.570007,137.360001,141.630005,140.023483,16698800
2018-12-01,142.259995,143.690002,124.879997,134.270004,132.746964,19511900
2019-01-01,133.330002,142.309998,131.149994,141.779999,140.961563,13839300
2019-02-01,141.919998,146.669998,125.269997,127.500000,126.763992,21592300
2019-03-01,128.050003,130.050003,121.849998,128.789993,128.046539,22191400
2019-04-01,129.649994,138.509995,129.169998,137.789993,137.789993,17111800
2019-05-01,137.839996,142.880005,133.139999,136.669998,136.669998,15252000
2019-05-17,135.820007,137.380005,135.544998,136.669998,136.669998,556492
