Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,null,null,null,null,null,null
2015-06-01,null,null,null,null,null,null
2015-07-01,null,null,null,null,null,null
2015-08-01,null,null,null,null,null,null
2015-09-01,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-11-01,null,null,null,null,null,null
2015-12-01,null,null,null,null,null,null
2016-01-01,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-03-01,null,null,null,null,null,null
2016-04-01,null,null,null,null,null,null
2016-05-01,null,null,null,null,null,null
2016-06-01,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-10-01,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2017-01-01,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,25.500000,26.049999,25.010000,25.980000,25.145510,4720600
2017-12-01,null,null,null,null,null,null
2018-01-01,28.080000,28.170000,26.930000,27.070000,26.200499,13743800
2018-02-01,27.030001,27.110001,23.459999,23.990000,23.219429,36501500
2018-03-01,23.930000,24.719999,21.719999,22.730000,21.999903,48922500
2018-04-01,22.580000,24.870001,21.610001,24.040001,23.363537,71057400
2018-05-01,23.990000,24.910000,21.860001,21.879999,21.264317,73088700
2018-06-01,22.160000,23.610001,21.629999,22.740000,22.100117,44944900
2018-07-01,22.559999,25.070000,22.340000,24.250000,23.672792,30653900
2018-08-01,24.170000,24.700001,23.030001,23.219999,22.667309,32987600
2018-09-01,23.219999,23.770000,21.620001,21.959999,21.437300,34450100
2018-10-01,22.030001,23.309999,19.600000,21.469999,21.074047,63524600
2018-11-01,21.480000,22.230000,20.540001,21.850000,21.447039,48885300
2018-12-01,22.129999,22.320000,16.200001,17.360001,17.140625,55941000
2019-01-01,17.150000,21.090000,17.010000,20.809999,20.547028,45053300
2019-02-01,20.879999,21.240000,19.580000,20.270000,20.013851,43307600
2019-03-01,20.410000,20.820000,18.240000,18.790001,18.665596,45967800
2019-04-01,19.010000,20.740000,19.010000,20.570000,20.433811,34892000
2019-05-01,20.590000,20.799999,18.389999,18.530001,18.407318,21798000
2019-05-17,18.510000,18.700001,18.389999,18.530001,18.530001,1607566
