Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,null,null,null,null,null,null
2015-06-01,23.910370,24.938488,23.216169,23.435852,22.306194,63566900
2015-07-01,23.809999,26.790001,22.520000,26.389999,25.117939,119033200
2015-08-01,26.360001,28.590000,24.809999,26.230000,25.063601,107902600
2015-09-01,25.750000,28.070000,24.280001,25.180000,24.060291,99119900
2015-10-01,25.350000,29.309999,24.889999,29.000000,27.710424,161996400
2015-11-01,29.049999,30.610001,28.080000,29.910000,28.682665,75741300
2015-12-01,30.020000,30.490000,27.680000,28.299999,27.138731,72077700
2016-01-01,27.830000,28.160000,23.760000,26.389999,25.307104,114192400
2016-02-01,26.230000,29.129999,23.100000,28.200001,27.135933,119673100
2016-03-01,28.440001,31.709999,28.360001,31.450001,30.263304,82881600
2016-04-01,31.340000,32.919998,30.450001,30.709999,29.551224,66895400
2016-05-01,30.760000,32.869999,30.389999,32.639999,31.503408,62381100
2016-06-01,32.410000,32.610001,29.110001,30.940001,29.862604,85174100
2016-07-01,30.980000,37.380001,30.309999,36.480000,35.209702,99572900
2016-08-01,36.529999,36.750000,34.980000,35.480000,34.351337,61973000
2016-09-01,35.500000,35.889999,32.610001,34.310001,33.218559,84947800
2016-10-01,34.130001,35.070000,30.040001,30.879999,29.897667,92948900
2016-11-01,30.860001,32.750000,29.379999,31.650000,30.735668,83955600
2016-12-01,31.670000,33.209999,30.080000,31.620001,30.706533,65901100
2017-01-01,31.889999,34.049999,31.590000,32.950001,31.998116,55528700
2017-02-01,32.930000,34.459999,31.290001,33.779999,32.906296,73205800
2017-03-01,34.330002,34.919998,33.070000,33.990002,33.110867,69246500
2017-04-01,34.029999,37.580002,32.970001,37.020000,36.062496,73627500
2017-05-01,37.139999,37.490002,36.240002,37.250000,36.393715,56671600
2017-06-01,37.369999,39.369999,36.750000,38.209999,37.331646,51827700
2017-07-01,38.419998,39.150002,37.500000,38.130001,37.253483,42448200
2017-08-01,38.330002,38.590000,36.080002,36.770000,36.017574,46074300
2017-09-01,36.860001,39.119999,36.419998,39.009998,38.211735,38009300
2017-10-01,38.990002,41.099998,38.419998,39.820000,39.005157,55337500
2017-11-01,40.020000,43.090000,38.340000,42.910000,42.145515,44761000
2017-12-01,42.900002,44.439999,41.730000,43.939999,43.157169,53102100
2018-01-01,44.049999,46.450001,43.340000,44.660000,43.864338,59766500
2018-02-01,44.380001,44.740002,40.169998,41.119999,40.482479,70913400
2018-03-01,41.110001,42.910000,39.580002,40.439999,39.813019,62523700
2018-04-01,40.360001,41.759998,35.790001,37.869999,37.282867,109068700
2018-05-01,37.750000,38.639999,36.509998,37.270000,36.787315,82787400
2018-06-01,37.540001,39.060001,36.700001,37.419998,36.935368,66991500
2018-07-01,37.139999,40.360001,36.869999,40.330002,39.807682,66393800
2018-08-01,40.330002,40.400002,37.480000,37.970001,37.582893,53926400
2018-09-01,37.759998,39.139999,36.389999,36.599998,36.226856,50568300
2018-10-01,37.040001,37.049999,27.150000,30.000000,29.694147,132492200
2018-11-01,30.100000,31.990000,30.070000,31.690001,31.480087,94024500
2018-12-01,32.430000,33.099998,27.030001,29.240000,29.046316,79383700
2019-01-01,28.740000,32.990002,28.620001,32.410000,32.195320,89036700
2019-02-01,32.500000,38.639999,32.419998,37.560001,37.448463,79947200
2019-03-01,40.509998,41.000000,38.040001,39.310001,39.193268,77175800
2019-04-01,39.529999,40.930000,37.500000,39.060001,38.944012,75699500
2019-05-01,39.130001,40.490002,36.709999,37.549999,37.549999,51447000
2019-05-17,37.959999,38.165001,37.540001,37.549999,37.549999,2719087
