Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,null,null,null,null,null,null
2015-06-01,155.539993,162.259995,154.179993,159.250000,148.750961,7514900
2015-07-01,160.649994,165.860001,156.809998,164.800003,153.935059,8233800
2015-08-01,164.850006,170.699997,150.479996,159.770004,149.236725,8505800
2015-09-01,156.990005,161.940002,147.979996,150.940002,141.438553,9536600
2015-10-01,151.110001,166.979996,146.520004,165.889999,155.447464,9050000
2015-11-01,165.860001,173.139999,163.800003,172.160004,161.322769,6743700
2015-12-01,172.479996,174.520004,166.100006,171.429993,161.221237,7357700
2016-01-01,168.789993,169.949997,147.509995,161.559998,151.939041,10602500
2016-02-01,158.449997,162.029999,133.089996,144.669998,136.054810,15647100
2016-03-01,146.139999,160.000000,144.919998,156.990005,148.254730,10147400
2016-04-01,156.000000,164.320007,152.509995,159.279999,150.417343,11180000
2016-05-01,159.679993,165.330002,155.429993,161.820007,152.815979,9544800
2016-06-01,160.919998,163.600006,147.500000,157.820007,149.594864,10909200
2016-07-01,158.029999,163.979996,153.850006,157.169998,148.978729,9386600
2016-08-01,157.000000,157.919998,150.820007,153.289993,145.300934,9023900
2016-09-01,153.529999,154.750000,146.080002,151.960007,144.620544,9009400
2016-10-01,151.179993,164.669998,145.169998,154.100006,146.657211,13248500
2016-11-01,154.580002,172.009995,151.669998,167.199997,159.124481,9444300
2016-12-01,167.139999,177.860001,166.250000,171.270004,163.687622,7335300
2017-01-01,171.779999,181.610001,169.800003,181.529999,173.493378,7132900
2017-02-01,181.729996,181.729996,164.270004,169.669998,162.158417,12575300
2017-03-01,172.240005,174.500000,162.240005,168.669998,161.869370,9362500
2017-04-01,168.669998,177.800003,159.910004,167.529999,160.775360,13217500
2017-05-01,168.380005,171.779999,158.389999,161.660004,155.141998,11997000
2017-06-01,161.979996,165.440002,152.490005,158.000000,152.262985,14131000
2017-07-01,158.750000,162.490005,146.470001,154.199997,148.600937,20526600
2017-08-01,154.639999,156.449997,140.830002,147.570007,142.211700,14854800
2017-09-01,148.000000,150.380005,144.179993,149.009995,144.275467,10186100
2017-10-01,149.149994,163.059998,146.470001,157.779999,152.766800,17640400
2017-11-01,158.169998,171.800003,155.119995,169.429993,164.046631,10106100
2017-12-01,169.210007,176.750000,165.449997,174.300003,169.649750,9935600
2018-01-01,174.580002,185.470001,170.970001,171.309998,166.739517,12806700
2018-02-01,170.089996,171.669998,154.500000,159.220001,154.972061,15175800
2018-03-01,158.869995,159.770004,145.669998,147.539993,143.603683,16775200
2018-04-01,147.119995,158.630005,143.050003,145.250000,142.106628,16746600
2018-05-01,144.619995,155.039993,141.630005,147.820007,144.621033,9768300
2018-06-01,148.779999,164.559998,148.300003,160.720001,158.095688,11922600
2018-07-01,159.699997,175.059998,155.000000,169.589996,166.820862,16209100
2018-08-01,169.100006,180.539993,165.899994,176.779999,173.893463,10983800
2018-09-01,176.970001,189.460007,176.089996,183.600006,181.465820,9658600
2018-10-01,184.899994,187.729996,145.419998,153.940002,152.150589,21426300
2018-11-01,153.750000,166.460007,152.529999,166.240005,164.307617,11630300
2018-12-01,169.100006,169.300003,135.289993,145.289993,144.431946,12354300
2019-01-01,143.139999,168.910004,141.500000,165.990005,165.009705,15284100
2019-02-01,165.979996,167.220001,150.250000,160.000000,159.055084,13797400
2019-03-01,161.190002,162.160004,149.789993,156.520004,156.520004,12259300
2019-04-01,158.130005,174.000000,150.750000,168.279999,168.279999,14870200
2019-05-01,168.759995,172.429993,159.929993,163.139999,163.139999,6516800
2019-05-17,163.770004,165.806702,162.970001,163.139999,163.139999,369699
