Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,null,null,null,null,null,null
2015-06-01,115.400002,122.120003,108.589996,110.309998,107.984596,21067000
2015-07-01,110.589996,111.269997,98.930000,104.120003,101.925079,26103300
2015-08-01,103.080002,118.870003,97.970001,110.510002,108.180367,32739500
2015-09-01,107.099998,112.839996,97.230003,102.480003,100.459969,22390600
2015-10-01,104.419998,123.849998,101.620003,118.059998,115.732849,29102100
2015-11-01,118.160004,124.910004,110.400002,119.019997,116.673935,20609900
2015-12-01,119.160004,122.410004,85.000000,89.379997,87.737808,35475300
2016-01-01,89.199997,93.000000,72.769997,93.000000,91.291290,34822400
2016-02-01,90.800003,92.610001,75.010002,84.029999,82.486099,34904700
2016-03-01,84.750000,100.070000,81.800003,97.269997,95.669617,29111300
2016-04-01,94.830002,115.690002,93.209999,108.879997,107.088593,21742800
2016-05-01,108.739998,120.440002,102.910004,116.279999,114.366859,21999600
2016-06-01,116.279999,123.480003,108.970001,119.320000,117.439850,21317200
2016-07-01,119.750000,122.940002,112.190002,120.019997,118.128807,15755300
2016-08-01,118.660004,135.429993,114.370003,132.179993,130.097229,18568200
2016-09-01,131.529999,136.949997,121.610001,134.369995,132.336288,18256000
2016-10-01,134.059998,142.199997,128.830002,129.130005,127.175591,16873500
2016-11-01,130.619995,139.460007,118.589996,137.880005,135.793167,25105300
2016-12-01,141.059998,146.960007,135.100006,135.899994,133.928375,15334300
2017-01-01,137.529999,144.300003,133.500000,135.210007,133.248413,17288400
2017-02-01,136.130005,136.309998,122.510002,125.720001,123.896072,26739200
2017-03-01,127.300003,128.979996,114.720001,119.489998,117.828033,22181200
2017-04-01,119.269997,123.919998,115.070000,116.680000,115.057129,19565700
2017-05-01,116.849998,123.760002,106.040001,107.559998,106.063965,26053800
2017-06-01,107.690002,108.489998,91.220001,94.010002,92.764244,31690100
2017-07-01,94.589996,100.790001,89.489998,99.029999,97.717712,19722100
2017-08-01,98.809998,102.830002,91.099998,99.690002,98.368980,28438100
2017-09-01,100.169998,116.430000,98.779999,113.669998,112.255562,17974400
2017-10-01,112.059998,117.860001,111.190002,116.930000,115.474998,14460000
2017-11-01,117.750000,127.889999,112.000000,116.110001,114.665199,18545900
2017-12-01,117.019997,123.730003,109.550003,122.010002,120.570930,17226900
2018-01-01,122.739998,130.160004,111.129997,112.199997,110.876640,21020400
2018-02-01,113.040001,115.589996,93.760002,96.089996,94.956642,28927100
2018-03-01,95.970001,97.589996,89.730003,93.500000,92.471336,27188100
2018-04-01,93.199997,102.900002,87.980003,100.589996,99.483337,26358900
2018-05-01,99.860001,102.500000,90.360001,92.919998,91.897713,31461100
2018-06-01,92.839996,103.910004,82.449997,101.739998,100.784325,47638300
2018-07-01,100.849998,103.730003,94.169998,98.599998,97.673813,21156800
2018-08-01,97.449997,98.260002,80.529999,84.480003,83.686462,32560000
2018-09-01,85.160004,95.610001,82.180000,92.940002,92.237534,24752700
2018-10-01,93.080002,101.190002,77.629997,79.470001,78.869347,33313700
2018-11-01,79.860001,95.620003,79.220001,81.980003,81.360382,36329500
2018-12-01,84.970001,85.989998,55.619999,61.650002,61.314556,30265600
2019-01-01,60.369999,77.099998,60.009998,75.339996,74.930069,28603700
2019-02-01,76.019997,76.800003,69.849998,71.910004,71.518730,26761000
2019-03-01,72.400002,75.489998,66.400002,69.900002,69.688469,31553200
2019-04-01,70.559998,72.459999,64.570000,68.660004,68.452225,29204900
2019-05-01,68.739998,70.059998,64.459999,68.550003,68.342560,19070100
2019-05-17,68.599998,69.389999,68.370003,68.550003,68.550003,1157698
