Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,null,null,null,null,null,null
2015-05-18,113.360001,115.580002,112.559998,113.800003,106.353310,10409500
2015-05-25,113.879997,114.449997,112.559998,112.559998,105.194435,8870800
2015-06-01,112.809998,113.760002,110.250000,111.500000,104.203812,7159900
2015-06-08,111.309998,111.809998,108.279999,110.150002,102.942139,8300400
2015-06-15,109.769997,112.629997,109.000000,111.470001,104.175774,11046000
2015-06-22,112.580002,113.190002,107.309998,107.839996,100.783318,8358500
2015-06-29,106.809998,108.320000,105.779999,107.099998,100.091728,6855100
2015-07-06,106.470001,109.980003,106.000000,109.459999,102.297295,7436500
2015-07-13,110.519997,113.660004,109.230003,113.199997,105.792564,7131300
2015-07-20,113.230003,115.410004,108.449997,108.730003,101.615082,12156400
2015-07-27,108.129997,109.080002,104.129997,105.750000,98.830063,13582300
2015-08-03,105.750000,107.849998,102.879997,104.360001,97.531052,10071500
2015-08-10,105.040001,106.260002,102.290001,103.940002,97.138535,7630700
2015-08-17,103.750000,107.019997,101.339996,101.800003,95.403610,8780000
2015-08-24,93.000000,101.790001,91.480003,100.870003,94.532051,15878300
2015-08-31,100.870003,101.839996,95.610001,98.989998,92.770164,9823100
2015-09-07,100.800003,104.400002,99.790001,104.339996,97.784012,7203300
2015-09-14,104.820000,108.180000,103.790001,106.099998,99.433426,8550100
2015-09-21,106.580002,107.360001,99.389999,99.839996,93.566750,9549000
2015-09-28,99.339996,99.650002,90.820000,94.910004,88.946526,15426200
2015-10-05,95.339996,95.900002,91.769997,92.839996,87.006592,13980100
2015-10-12,93.019997,95.320000,92.110001,95.059998,89.087097,11791500
2015-10-19,94.970001,95.540001,91.690002,93.129997,87.278358,12952500
2015-10-26,93.059998,102.639999,92.839996,96.510002,90.445999,23973500
2015-11-02,97.510002,98.709999,96.529999,97.610001,91.476875,8922400
2015-11-09,97.330002,99.639999,96.220001,96.589996,90.520950,8669400
2015-11-16,96.860001,100.860001,96.540001,99.099998,93.195801,10477100
2015-11-23,99.000000,99.699997,97.750000,98.989998,93.092346,5556700
2015-11-30,99.080002,100.400002,98.029999,99.889999,93.938721,9197300
2015-12-07,99.919998,102.809998,99.330002,102.080002,95.998253,11050800
2015-12-14,102.199997,103.489998,100.440002,101.879997,95.810165,13839500
2015-12-21,102.169998,104.239998,101.610001,103.949997,97.756851,4432200
2015-12-28,103.849998,105.809998,103.480003,103.709999,97.531143,3784200
2016-01-04,102.309998,103.400002,97.800003,97.959999,92.123718,12140000
2016-01-11,95.510002,96.000000,91.430000,92.769997,87.242920,19610700
2016-01-18,93.290001,93.339996,89.680000,91.000000,85.578377,12097100
2016-01-25,91.989998,92.230003,87.089996,89.559998,84.224159,16428000
2016-02-01,89.110001,89.889999,80.500000,84.699997,79.653709,22762400
2016-02-08,83.889999,86.349998,82.620003,85.610001,80.509514,14540500
2016-02-15,86.110001,87.830002,85.000000,86.839996,81.666237,9688500
2016-02-22,86.860001,88.570000,85.800003,87.540001,82.645691,9029500
2016-02-29,87.370003,88.470001,86.440002,88.000000,83.079987,9739900
2016-03-07,87.360001,89.639999,85.809998,89.550003,84.543312,12365300
2016-03-14,89.059998,89.769997,85.410004,87.480003,82.589035,11772300
2016-03-21,87.580002,87.839996,85.949997,86.169998,81.352287,7091700
2016-03-28,87.040001,87.739998,85.709999,86.510002,81.673286,8271700
2016-04-04,86.739998,88.099998,85.120003,85.309998,80.540367,12339300
2016-04-11,85.160004,87.879997,84.050003,87.830002,82.919472,10010500
2016-04-18,88.040001,92.480003,87.639999,91.889999,86.752480,11220500
2016-04-25,91.750000,92.000000,84.370003,85.099998,80.342110,14318300
2016-05-02,85.190002,86.070000,75.349998,76.519997,72.241814,24527600
2016-05-09,76.430000,78.480003,73.540001,73.660004,69.541725,16839200
2016-05-16,73.760002,75.330002,73.730003,74.820000,70.636864,14780400
2016-05-23,75.000000,75.050003,73.309998,74.029999,70.208687,8740000
2016-05-30,74.199997,77.230003,73.889999,76.540001,72.589104,12236800
2016-06-06,76.300003,77.239998,75.370003,76.459999,72.513229,11183800
2016-06-13,76.440002,77.180000,74.959999,75.699997,71.792480,13385400
2016-06-20,76.250000,77.769997,75.040001,75.440002,71.545891,12788200
2016-06-27,75.139999,80.430000,73.440002,80.160004,76.022247,12909900
2016-07-04,79.860001,82.080002,79.389999,81.919998,77.691391,8220800
2016-07-11,81.970001,86.519997,81.849998,85.550003,81.134026,11179500
2016-07-18,85.730003,87.050003,85.099998,85.860001,81.428032,7338900
2016-07-25,85.900002,86.040001,84.120003,85.190002,80.792625,9709200
2016-08-01,85.279999,90.540001,85.110001,89.349998,84.737869,14053600
2016-08-08,89.709999,89.709999,87.470001,88.910004,84.320587,7430200
2016-08-15,88.949997,90.120003,88.110001,88.849998,84.263680,8382600
2016-08-22,88.800003,89.230003,85.150002,85.750000,81.635773,8211600
2016-08-29,85.820000,87.870003,85.309998,87.440002,83.244690,8314000
2016-09-05,87.300003,88.440002,85.220001,85.309998,81.216888,7830000
2016-09-12,85.010002,87.139999,83.010002,84.110001,80.074463,16894600
2016-09-19,83.910004,84.959999,81.790001,83.330002,79.331886,11732600
2016-09-26,83.070000,83.739998,79.339996,80.779999,76.904243,8860600
2016-10-03,80.680000,81.720001,78.699997,79.389999,75.580925,9075000
2016-10-10,79.070000,81.050003,78.779999,79.790001,75.961739,9836400
2016-10-17,79.750000,81.769997,79.230003,80.019997,76.180702,9267800
2016-10-24,80.339996,80.879997,68.379997,69.139999,65.822708,16493800
2016-10-31,69.510002,77.470001,69.510002,70.470001,67.088913,27120700
2016-11-07,71.519997,80.800003,68.709999,78.919998,75.133476,23766500
2016-11-14,82.160004,82.580002,77.709999,79.209999,75.409561,18336700
2016-11-21,78.620003,80.480003,77.760002,78.570000,75.148094,7001500
2016-11-28,78.610001,79.580002,77.449997,78.800003,75.368073,13016100
2016-12-05,78.889999,80.099998,73.860001,78.900002,75.463707,13837600
2016-12-12,78.370003,79.400002,75.459999,77.379997,74.009903,10707500
2016-12-19,77.550003,80.059998,77.330002,78.559998,75.138527,8563400
2016-12-26,78.419998,80.239998,77.959999,78.190002,74.784645,3905800
2017-01-02,78.510002,85.779999,78.309998,84.800003,81.106766,10964300
2017-01-09,84.599998,86.320000,79.940002,84.620003,80.934608,12097100
2017-01-16,84.919998,86.470001,83.209999,83.750000,80.102486,9551600
2017-01-23,83.720001,85.919998,81.040001,82.430000,78.839981,10140100
2017-01-30,82.550003,89.610001,80.820000,89.279999,85.391655,18665900
2017-02-06,89.169998,91.779999,88.930000,91.169998,87.199333,9605700
2017-02-13,91.529999,94.500000,89.000000,90.760002,86.807190,10767300
2017-02-20,90.739998,92.400002,89.559998,92.160004,88.500488,6385600
2017-02-27,92.309998,92.809998,90.980003,92.230003,88.567703,7292500
2017-03-06,91.580002,91.870003,87.760002,88.309998,84.803360,8939000
2017-03-13,88.760002,89.760002,86.879997,87.529999,84.054344,8533900
2017-03-20,87.650002,87.889999,85.220001,86.559998,83.122856,7478400
2017-03-27,86.139999,89.879997,86.120003,88.500000,84.985817,8227300
2017-04-03,88.410004,88.629997,86.709999,87.620003,84.140762,6458100
2017-04-10,87.750000,89.250000,86.139999,86.669998,83.228493,5132600
2017-04-17,86.639999,86.720001,81.110001,81.260002,78.033310,10770900
2017-04-24,82.029999,82.400002,79.400002,82.050003,78.791939,8655000
2017-05-01,82.320000,87.970001,81.070000,85.889999,82.479469,11929600
2017-05-08,86.209999,88.970001,86.019997,88.750000,85.225899,8360100
2017-05-15,88.489998,90.989998,86.120003,89.160004,85.619606,8142600
2017-05-22,89.000000,91.500000,88.550003,91.000000,87.757790,6252600
2017-05-29,90.660004,93.839996,90.529999,93.580002,90.245880,5730500
2017-06-05,93.199997,93.570000,91.029999,92.099998,88.818619,5879100
2017-06-12,91.889999,95.180000,91.739998,92.529999,89.233292,5968700
2017-06-19,92.610001,97.669998,91.760002,95.820000,92.406082,6608800
2017-06-26,96.199997,97.849998,93.349998,94.529999,91.162041,5611200
2017-07-03,94.860001,95.680000,92.239998,93.910004,90.564125,3546100
2017-07-10,93.650002,94.540001,91.150002,92.959999,89.647980,4469700
2017-07-17,93.050003,93.370003,90.300003,91.620003,88.355721,5389400
2017-07-24,91.639999,95.110001,91.339996,93.970001,90.622002,6415800
2017-07-31,94.300003,94.419998,79.580002,80.830002,77.950142,14936300
2017-08-07,80.800003,82.339996,78.129997,80.019997,77.169006,11281100
2017-08-14,80.309998,81.339996,78.459999,78.599998,75.799614,9577700
2017-08-21,78.430000,79.459999,77.860001,78.099998,75.662491,6629200
2017-08-28,78.379997,80.610001,77.690002,80.239998,77.735703,6307100
2017-09-04,79.809998,83.940002,79.050003,82.500000,79.925156,6194200
2017-09-11,83.330002,84.809998,80.019997,81.599998,79.053261,9955700
2017-09-18,81.800003,82.029999,78.339996,81.050003,78.520432,6195900
