Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,null,null,null,null,null,null
2015-05-18,297.179993,303.709991,294.809998,301.350006,289.316711,10589900
2015-05-25,301.000000,315.000000,299.170013,306.809998,294.558685,11408300
2015-06-01,310.000000,311.200012,301.049988,302.299988,290.228760,8990200
2015-06-08,302.940002,303.260010,294.720001,298.980011,287.041382,8190200
2015-06-15,297.829987,304.959991,295.940002,302.369995,290.295929,8655000
2015-06-22,305.000000,314.690002,302.019989,306.600006,294.357056,11649300
2015-06-29,302.809998,310.500000,298.149994,307.510010,295.230713,6645600
2015-07-06,304.170013,313.070007,298.880005,312.130005,299.666229,8896500
2015-07-13,314.950012,322.440002,312.850006,316.209991,303.583313,9330700
2015-07-20,316.899994,319.290009,307.510010,308.209991,295.902771,6945400
2015-07-27,330.989990,340.339996,324.000000,331.149994,317.926727,22379600
2015-08-03,334.170013,339.000000,313.510010,321.049988,308.230042,13912600
2015-08-10,323.630005,325.269989,305.049988,314.500000,301.941620,10184100
2015-08-17,315.000000,325.000000,292.040009,298.570007,286.647736,11476300
2015-08-24,280.989990,315.000000,277.829987,308.010010,295.710754,16857400
2015-08-31,310.850006,312.640015,290.140015,293.739990,282.010620,11544600
2015-09-07,298.100006,303.730011,289.820007,295.239990,283.450653,6677000
2015-09-14,295.989990,306.649994,292.519989,295.290009,283.498688,13173800
2015-09-21,297.500000,300.980011,273.649994,279.029999,267.887939,20190800
2015-09-28,274.140015,288.769989,245.320007,288.000000,276.499786,35501500
2015-10-05,288.880005,289.500000,262.790009,274.839996,263.865234,24438100
2015-10-12,273.750000,278.859985,261.170013,278.130005,267.023895,16873200
2015-10-19,279.019989,279.019989,237.500000,268.549988,257.826416,37045800
2015-10-26,263.850006,317.040009,262.519989,308.470001,296.152435,41353200
2015-11-02,310.989990,316.450012,298.000000,301.570007,289.527893,18206500
2015-11-09,299.630005,314.190002,293.829987,299.630005,287.665344,17981700
2015-11-16,299.540009,315.200012,295.299988,312.459991,299.983063,29497100
2015-11-23,306.299988,321.880005,301.029999,319.760010,306.991577,35645600
2015-11-30,319.359985,322.679993,310.760010,316.500000,303.861755,18623500
