Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,null,null,null,null,null,null
2015-05-18,2.350000,2.370000,2.270000,2.280000,2.280000,41180700
2015-05-25,2.270000,2.330000,2.200000,2.280000,2.280000,47599600
2015-06-01,2.290000,2.340000,2.250000,2.330000,2.330000,40892600
2015-06-08,2.310000,2.360000,2.280000,2.310000,2.310000,38880100
2015-06-15,2.320000,2.590000,2.290000,2.580000,2.580000,96872600
2015-06-22,2.610000,2.670000,2.370000,2.470000,2.470000,170260800
2015-06-29,2.410000,2.630000,2.310000,2.530000,2.530000,92913700
2015-07-06,2.460000,2.540000,1.930000,1.960000,1.960000,122970000
2015-07-13,1.970000,2.090000,1.740000,1.790000,1.790000,87191400
2015-07-20,1.820000,1.840000,1.650000,1.670000,1.670000,70340600
2015-07-27,1.670000,1.990000,1.610000,1.930000,1.930000,75684400
2015-08-03,1.930000,2.210000,1.900000,2.090000,2.090000,70938400
2015-08-10,1.920000,1.980000,1.790000,1.840000,1.840000,59922900
2015-08-17,1.820000,1.880000,1.680000,1.780000,1.780000,52530700
2015-08-24,1.690000,1.870000,1.650000,1.850000,1.850000,62794300
2015-08-31,1.820000,1.870000,1.710000,1.820000,1.820000,35159800
2015-09-07,1.850000,2.140000,1.810000,2.010000,2.010000,53857300
2015-09-14,2.000000,2.000000,1.810000,1.870000,1.870000,45451700
2015-09-21,1.870000,1.900000,1.660000,1.710000,1.710000,41894500
2015-09-28,1.690000,1.830000,1.650000,1.830000,1.830000,31084200
2015-10-05,1.820000,1.960000,1.770000,1.960000,1.960000,41841000
2015-10-12,1.960000,2.060000,1.850000,1.940000,1.940000,73441300
2015-10-19,1.910000,2.210000,1.910000,2.210000,2.210000,48930400
2015-10-26,2.210000,2.210000,2.100000,2.120000,2.120000,28391200
2015-11-02,2.130000,2.300000,2.110000,2.150000,2.150000,36078400
2015-11-09,2.150000,2.180000,1.940000,1.990000,1.990000,25422500
2015-11-16,1.990000,2.250000,1.950000,2.220000,2.220000,34790900
2015-11-23,2.220000,2.400000,2.170000,2.330000,2.330000,30244300
2015-11-30,2.340000,2.370000,2.200000,2.280000,2.280000,34705000
2015-12-07,2.260000,2.500000,2.210000,2.360000,2.360000,51201400
2015-12-14,2.360000,2.600000,2.300000,2.450000,2.450000,63955400
2015-12-21,2.470000,3.000000,2.430000,2.920000,2.920000,73681500
2015-12-28,2.910000,3.060000,2.860000,2.870000,2.870000,52360200
2016-01-04,2.770000,2.820000,2.100000,2.140000,2.140000,123274400
2016-01-11,2.160000,2.460000,1.990000,2.030000,2.030000,87225300
2016-01-18,2.080000,2.180000,1.750000,2.020000,2.020000,90855900
2016-01-25,2.010000,2.200000,2.010000,2.200000,2.200000,54123500
2016-02-01,2.170000,2.190000,1.950000,1.980000,1.980000,46211800
2016-02-08,1.970000,2.000000,1.810000,1.830000,1.830000,53497300
2016-02-15,1.860000,1.980000,1.820000,1.910000,1.910000,44231100
2016-02-22,1.940000,2.100000,1.930000,2.070000,2.070000,37003600
2016-02-29,2.060000,2.550000,2.050000,2.370000,2.370000,68771500
2016-03-07,2.360000,2.540000,2.150000,2.520000,2.520000,62849500
2016-03-14,2.530000,2.930000,2.450000,2.930000,2.930000,123768600
2016-03-21,2.900000,2.900000,2.620000,2.790000,2.790000,43988000
2016-03-28,2.810000,2.980000,2.700000,2.830000,2.830000,53524800
2016-04-04,2.830000,2.870000,2.610000,2.740000,2.740000,49672900
2016-04-11,2.760000,2.850000,2.680000,2.700000,2.700000,49626100
2016-04-18,2.670000,3.990000,2.600000,3.990000,3.990000,185791600
2016-04-25,3.810000,3.820000,3.310000,3.550000,3.550000,179079400
2016-05-02,3.580000,3.800000,3.540000,3.680000,3.680000,72815000
2016-05-09,3.660000,3.730000,3.450000,3.670000,3.670000,58976900
2016-05-16,3.670000,3.980000,3.650000,3.870000,3.870000,85773300
2016-05-23,3.900000,4.630000,3.880000,4.600000,4.600000,151463300
2016-05-30,4.670000,4.710000,4.070000,4.160000,4.160000,107942100
2016-06-06,4.200000,4.670000,4.170000,4.320000,4.320000,89405700
2016-06-13,4.320000,5.270000,4.300000,5.260000,5.260000,140950400
2016-06-20,5.390000,5.520000,4.760000,4.880000,4.880000,193243600
2016-06-27,4.880000,5.400000,4.650000,5.070000,5.070000,137745700
2016-07-04,5.030000,5.150000,4.820000,5.100000,5.100000,79622800
2016-07-11,5.130000,5.240000,5.000000,5.140000,5.140000,90162300
2016-07-18,5.190000,5.970000,5.100000,5.840000,5.840000,224241700
2016-07-25,5.930000,7.160000,5.920000,6.860000,6.860000,288169600
2016-08-01,6.890000,6.920000,6.150000,6.610000,6.610000,133910400
2016-08-08,6.700000,6.850000,6.250000,6.730000,6.730000,105870700
2016-08-15,6.790000,8.000000,6.610000,7.620000,7.620000,174812100
2016-08-22,7.830000,7.950000,7.200000,7.670000,7.670000,139833400
2016-08-29,7.720000,7.790000,7.090000,7.510000,7.510000,92611700
2016-09-05,7.560000,7.600000,5.850000,5.900000,5.900000,344238200
2016-09-12,5.830000,6.220000,5.660000,6.050000,6.050000,293583900
2016-09-19,6.120000,6.650000,6.080000,6.550000,6.550000,197123900
2016-09-26,6.540000,7.040000,6.290000,6.910000,6.910000,165989200
2016-10-03,6.950000,7.150000,6.620000,6.750000,6.750000,147581000
2016-10-10,6.820000,7.120000,6.240000,6.750000,6.750000,177204300
2016-10-17,6.920000,6.980000,6.370000,6.520000,6.520000,207626900
2016-10-24,6.570000,7.530000,6.540000,7.200000,7.200000,294545200
2016-10-31,7.240000,7.460000,6.460000,6.560000,6.560000,181994300
2016-11-07,6.790000,7.180000,6.220000,6.690000,6.690000,224321500
2016-11-14,6.830000,8.830000,6.610000,8.710000,8.710000,323003400
2016-11-21,8.870000,9.220000,8.500000,8.770000,8.770000,185706000
