Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,null,null,null,null,null,null
2015-05-18,95.089996,95.769997,93.339996,94.349998,86.963188,10231500
2015-05-25,94.059998,95.349998,92.580002,92.790001,85.525322,13095400
2015-06-01,92.699997,95.690002,92.500000,92.519997,85.276459,16298000
2015-06-08,92.629997,93.839996,91.989998,93.199997,85.903221,9881400
2015-06-15,92.250000,97.059998,91.989998,95.970001,88.456352,12646900
2015-06-22,96.260002,96.970001,93.669998,94.239998,87.273827,9122100
2015-06-29,94.139999,95.099998,92.870003,94.910004,87.894302,7265300
2015-07-06,94.500000,95.959999,94.099998,95.419998,88.366608,8168500
2015-07-13,96.040001,98.019997,95.260002,96.949997,89.783501,9058200
2015-07-20,96.680000,98.309998,96.099998,96.790001,89.635330,10807400
2015-07-27,96.760002,97.470001,93.769997,95.110001,88.079536,12735600
2015-08-03,95.250000,99.709999,94.760002,99.650002,92.283928,12900600
2015-08-10,99.739998,101.279999,99.010002,101.080002,93.608223,11674800
2015-08-17,100.820000,101.540001,96.620003,96.699997,89.551994,11279500
2015-08-24,91.739998,94.570000,89.389999,93.449997,86.542229,21066800
2015-08-31,93.279999,93.540001,88.589996,89.019997,82.439682,12539900
2015-09-07,90.320000,91.360001,87.949997,89.260002,82.661934,9452700
2015-09-14,89.290001,93.019997,88.519997,90.489998,83.801018,10862300
2015-09-21,90.589996,90.779999,87.370003,88.839996,82.272987,7899800
2015-09-28,88.519997,89.800003,86.830002,89.739998,83.531097,10600200
2015-10-05,90.129997,95.760002,90.129997,94.940002,88.371315,12791400
2015-10-12,94.900002,96.260002,92.699997,96.129997,89.478981,8814000
2015-10-19,95.680000,99.940002,95.680000,99.169998,92.308640,9409100
2015-10-26,99.169998,102.620003,98.550003,102.230003,95.156944,11137300
2015-11-02,102.809998,104.120003,96.989998,98.029999,91.247513,12802800
2015-11-09,97.830002,98.269997,96.199997,96.379997,89.711678,8009800
2015-11-16,96.470001,100.870003,96.000000,100.489998,93.537315,7248400
2015-11-23,100.489998,100.669998,98.320000,99.680000,92.783363,3787200
2015-11-30,99.949997,101.239998,97.169998,97.550003,90.800735,11289500
2015-12-07,97.059998,97.980003,93.250000,93.680000,87.198479,12435400
2015-12-14,93.379997,97.879997,92.879997,94.599998,88.054840,10908400
2015-12-21,95.419998,98.699997,94.790001,98.139999,91.830231,5130800
2015-12-28,97.739998,99.589996,96.879997,96.949997,90.716743,4786900
2016-01-04,96.290001,98.750000,93.900002,94.230003,88.171623,12634000
2016-01-11,94.730003,95.180000,87.849998,88.389999,82.707100,13305600
2016-01-18,89.760002,93.589996,86.209999,93.250000,87.254623,14630300
2016-01-25,93.279999,94.500000,90.930000,94.339996,88.274544,12407000
2016-02-01,93.599998,93.900002,88.400002,88.839996,83.128159,13244600
2016-02-08,88.410004,88.459999,83.070000,85.669998,80.161972,12328700
2016-02-15,87.089996,88.010002,85.779999,87.320000,81.705902,9922400
2016-02-22,88.019997,91.800003,87.010002,90.010002,84.222946,17689100
2016-02-29,90.160004,96.330002,90.010002,95.940002,89.771675,12628800
2016-03-07,95.459999,98.559998,93.690002,98.459999,92.129662,10002900
2016-03-14,97.690002,102.900002,96.690002,100.510002,94.047852,13069000
2016-03-21,100.010002,100.959999,98.870003,100.349998,93.898140,6074600
2016-03-28,100.459999,104.820000,99.800003,104.500000,97.781342,9145300
